ticker,name,industry
7270.T,SUBARU,製造業(完成品)
7272.T,ヤマハ発動機,製造業(完成品)
7453.T,良品計画,商業・サービス
7731.T,ニコン,製造業(完成品)
7733.T,オリンパス,製造業(完成品)
7735.T,SCREEN_HD,製造業(完成品)
7741.T,HOYA,製造業(完成品)
7751.T,キャノン,製造業(完成品)
7752.T,リコー,製造業(完成品)
7832.T,バンダイナムコHD,製造業(完成品)
7911.T,TOPPAN_HD,製造業(完成品)
7912.T,大日本印刷,製造業(完成品)
7951.T,ヤマハ(YAMAHA),製造業(完成品)
7974.T,任天堂,製造業(完成品)
8001.T,伊藤忠商事,商業・サービス
8002.T,丸紅,商業・サービス
8015.T,豊田通商,商業・サービス
8031.T,三井物産,商業・サービス
8035.T,東京エレクトロン,製造業(完成品)
8053.T,住友商事,商業・サービス
8058.T,三菱商事,商業・サービス
8233.T,高島屋,商業・サービス
8252.T,丸井G,商業・サービス
8253.T,クレディセゾン,金融・情報通信
8267.T,イオン,商業・サービス
8304.T,あおぞら銀行,金融・情報通信
8306.T,三菱UFJフィナンシャルG,金融・情報通信
8308.T,りそなHD,金融・情報通信
8309.T,三井住友トラストG,金融・情報通信
8316.T,三井住友フィナンシャルG,金融・情報通信
8331.T,千葉銀行,金融・情報通信
8354.T,ふくおかフィナンシャルG,金融・情報通信
8411.T,みずほフィナンシャルG,金融・情報通信
8591.T,オリックス,金融・情報通信
8601.T,大和証券グループ本社,金融・情報通信
8604.T,野村HD,金融・情報通信
8630.T,SOMPO,金融・情報通信
8697.T,日本取引所,金融・情報通信
8725.T,MS&ADインシュアランスGHD,金融・情報通信
8750.T,第一生命HD,金融・情報通信
8766.T,東京海上HD,金融・情報通信
8795.T,T&D_HD,金融・情報通信
8801.T,三井物産,不動産・建設
8802.T,三菱地所,不動産・建設
8804.T,東京建物,不動産・建設
8830.T,住友不動産,不動産・建設
9001.T,東武鉄道,運輸・物流
9005.T,東急,運輸・物流
9007.T,小田急電鉄,運輸・物流
9008.T,京王電鉄,運輸・物流
9009.T,京成電鉄,運輸・物流
9020.T,東日本旅客鉄道(JR東日本),運輸・物流
9021.T,西日本旅客鉄道(JR西日本),運輸・物流
9022.T,東海旅客鉄道(JR東海),運輸・物流
9064.T,ヤマトHD,運輸・物流
9101.T,日本郵船,運輸・物流
9104.T,商船三井,運輸・物流
9107.T,川崎汽船,運輸・物流
9147.T,NIPPON_EXPRESS_HD,運輸・物流
9201.T,日本航空(JAL),運輸・物流
9202.T,ANA_HD,運輸・物流
9432.T,NTT(日本電信電話),金融・情報通信
9433.T,KDDI,金融・情報通信
9434.T,ソフトバンク,金融・情報通信
9501.T,東京電力HD,化学・医薬品
9502.T,中部電力,化学・医薬品
9503.T,関西電力,化学・医薬品
9531.T,東京瓦斯,化学・医薬品
9532.T,大阪瓦斯,化学・医薬品
9602.T,東宝,商業・サービス
9735.T,セコム,商業・サービス
9766.T,コナミG,商業・サービス
9843.T,ニトリHD,商業・サービス
9983.T,ファーストリテイリング,商業・サービス
9984.T,ソフトバンクG,金融・情報通信
